"","genotype","CWAt","CasS","FKer","GKie","GWis","JLim","JMar","SBal","SSko","USAP","FBog","GBus","GHel","USAW"
"1","1","3","1","3","1","1","4","1","1","2","1","","","",""
"2","2","4","1","7","5","8","8","4","5","5","","3","1","5","1"
"3","3","1","","","","","","","","","","","","",""
"4","4","1","","","","","","","","","","","","",""
"5","5","1","","","","","","","","","","","","",""
"6","6","1","","","","","","","","","","","","",""
"7","7","","","","","","","","","","","","","","1"
"8","Total","11","2","10","6","9","12","5","6","7","1","3","1","5","2"
